[ 23:54:15.0852 ] Info:  	Rinegine program start


[ 23:54:15.0852 ] Info:  	Rinegine init

[ 23:54:15.0852 ] Info:  	Program start

[ 23:54:15.0852 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 23:54:15.0860 ] Info:  	rgset is get, checking for suitable

[ 23:54:15.0868 ] Info:  	It is suitable, compile...

[ 23:54:15.0872 ] Info:  	Compile start

[ 23:54:15.0880 ] Info:  	Path to project: ''


[ 23:54:15.0927 ] Info:  	Compile 64bit


[ 23:54:19.0042 ] Critical Error:  	Error: 1

