
[ 22:47:24.0123 ] Info:  	Logs before init (time doesn't match):

[ 22:47:24.0123 ] Info:  	Continue


[ 22:47:24.0123 ] Debug:  	main


[ 22:47:24.0123 ] Info:  	Program start

[ 22:47:24.0123 ] Info:  	C:\GLOBAL_PROJECT\RinemestCollection\Rinegine\bin\rgcmd.exe

[ 22:47:24.0124 ] Info:  	rgset is get, checking for suitable

[ 22:47:24.0124 ] Info:  	It is suitable, compile...

[ 22:47:24.0124 ] Info:  	Compile start

[ 22:47:24.0124 ] Info:  	Path to project: ''

[ 22:47:24.0128 ] Info:  	Compile 64bit


[ 22:47:24.0218 ] Critical Error:  	Error: 1

